location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Spain,ESP,04/01/2021,82834,82834,,,,,0.18,0.18,,,,,
Spain,ESP,05/01/2021,139339,139339,,,56505,56505,0.3,0.3,,,1209,56505,0.121
Spain,ESP,06/01/2021,,,,,,45248,,,,,968,45248,0.097
Spain,ESP,07/01/2021,207323,207323,,,,41496,0.44,0.44,,,888,41496,0.089
Spain,ESP,08/01/2021,277976,277976,,,70653,48786,0.59,0.59,,,1044,48786,0.104
Spain,ESP,09/01/2021,,,,,,47569,,,,,1018,47569,0.102
Spain,ESP,10/01/2021,,,,,,46759,,,,,1000,46759,0.1
Spain,ESP,11/01/2021,406091,406091,,,,46180,0.87,0.87,,,988,46180,0.099
Spain,ESP,12/01/2021,488122,488122,,,82031,49826,1.04,1.04,,,1066,49826,0.107
Spain,ESP,13/01/2021,581638,581638,,,93516,58330,1.24,1.24,,,1248,58330,0.125
Spain,ESP,14/01/2021,676186,676186,,,94548,66980,1.45,1.45,,,1433,66980,0.143
Spain,ESP,15/01/2021,768950,768950,,,92764,70139,1.64,1.64,,,1500,70139,0.15
Spain,ESP,16/01/2021,,,,,,70181,,,,,1501,70071,0.15
Spain,ESP,17/01/2021,,,,,,70223,,,,,1502,70002,0.15
Spain,ESP,18/01/2021,897942,895627,2315,,,70264,1.92,1.92,0,,1503,69934,0.15
Spain,ESP,19/01/2021,966097,956756,9341,,68155,68282,2.07,2.05,0.02,,1461,66948,0.143
Spain,ESP,20/01/2021,1025937,1010295,15642,,59840,63471,2.19,2.16,0.03,,1358,61237,0.131
Spain,ESP,21/01/2021,1103301,1054245,49056,,77364,61016,2.36,2.26,0.1,,1305,54008,0.116
Spain,ESP,22/01/2021,1165825,1097369,68456,,62524,56696,2.49,2.35,0.15,,1213,46917,0.1
Spain,ESP,23/01/2021,,,,,,55680,,,,,1191,44565,0.095
Spain,ESP,24/01/2021,1237593,1148895,88698,,,54664,2.65,2.46,0.19,,1169,42213,0.09
Spain,ESP,25/01/2021,1291216,1167519,123697,,53623,56182,2.76,2.5,0.26,,1202,38842,0.083
Spain,ESP,26/01/2021,1356461,1183395,173066,,65245,55766,2.9,2.53,0.37,,1193,32377,0.069
Spain,ESP,27/01/2021,1395618,1202859,192759,,39157,52812,2.99,2.57,0.41,,1130,27509,0.059
Spain,ESP,28/01/2021,1474189,1222323,251866,,78571,52984,3.15,2.61,0.54,,1133,24011,0.051
Spain,ESP,29/01/2021,,,,,,50484,,,,,1080,19234,0.041
Spain,ESP,30/01/2021,,,,,,51790,,,,,1108,16936,0.036
Spain,ESP,31/01/2021,1609261,1251369,357892,,,53095,3.44,2.68,0.77,,1136,14639,0.031
Spain,ESP,01/02/2021,1673054,1254535,418519,,63793,54548,3.58,2.68,0.9,,1167,12431,0.027
Spain,ESP,02/02/2021,1764778,1265800,498978,,91724,58331,3.78,2.71,1.07,,1248,11772,0.025
Spain,ESP,03/02/2021,1865342,1279220,586122,,100564,67103,3.99,2.74,1.25,,1436,10909,0.023
Spain,ESP,04/02/2021,1988160,1305251,682909,,122818,73424,4.25,2.79,1.46,,1571,11847,0.025
Spain,ESP,05/02/2021,,,,,,72558,,,,,1552,11101,0.024
Spain,ESP,06/02/2021,,,,,,71691,,,,,1534,10354,0.022
Spain,ESP,07/02/2021,2105033,1318626,786407,,,70825,4.5,2.82,1.68,,1515,9608,0.021
Spain,ESP,08/02/2021,2167241,1328459,838782,,62208,70598,4.64,2.84,1.79,,1510,10561,0.023
Spain,ESP,09/02/2021,2233249,1343566,889683,,66008,66924,4.78,2.87,1.9,,1432,11109,0.024
Spain,ESP,10/02/2021,2320507,1377229,943278,,87258,65024,4.96,2.95,2.02,,1391,14001,0.03
Spain,ESP,11/02/2021,2423045,1422560,1000485,,102538,62126,5.18,3.04,2.14,,1329,16758,0.036
Spain,ESP,12/02/2021,,,,,,63159,,,,,1351,19405,0.042
Spain,ESP,13/02/2021,,,,,,64192,,,,,1373,22052,0.047
Spain,ESP,14/02/2021,2561608,1491517,1070091,,,65225,5.48,3.19,2.29,,1395,24699,0.053
Spain,ESP,15/02/2021,2624512,1527590,1096922,,62904,65324,5.61,3.27,2.35,,1397,28447,0.061
Spain,ESP,16/02/2021,2690457,1571277,1119180,,65945,65315,5.76,3.36,2.39,,1397,32530,0.07
Spain,ESP,17/02/2021,2782751,1638195,1144556,,92294,66035,5.95,3.5,2.45,,1413,37281,0.08
Spain,ESP,18/02/2021,2936011,1764985,1171026,,153260,73281,6.28,3.78,2.51,,1568,48918,0.105
Spain,ESP,19/02/2021,,,,,,74032,,,,,1584,51744,0.111
Spain,ESP,20/02/2021,,,,,,74783,,,,,1600,54570,0.117
Spain,ESP,21/02/2021,3090351,1893290,1197061,,,75535,6.61,4.05,2.56,,1616,57396,0.123
Spain,ESP,22/02/2021,3165191,1956886,1208305,,74840,77240,6.77,4.19,2.58,,1652,61328,0.131
Spain,ESP,23/02/2021,3284678,2063495,1221183,,119487,84889,7.03,4.41,2.61,,1816,70317,0.15
Spain,ESP,24/02/2021,3436158,2204376,1231782,,151480,93344,7.35,4.72,2.64,,1997,80883,0.173
Spain,ESP,25/02/2021,3605635,2361852,1243783,,169477,95661,7.71,5.05,2.66,,2046,85267,0.182
Spain,ESP,26/02/2021,,,,,,98970,,,,,2117,88955,0.19
Spain,ESP,27/02/2021,,,,,,102279,,,,,2188,92644,0.198
Spain,ESP,28/02/2021,3829465,2567617,1261848,,,105588,8.19,5.49,2.7,,2259,96332,0.206
Spain,ESP,01/03/2021,3908734,2642034,1266700,,79269,106220,8.36,5.65,2.71,,2272,97878,0.209
Spain,ESP,02/03/2021,4059320,2772318,1287002,,150586,110663,8.68,5.93,2.75,,2367,101260,0.217
Spain,ESP,03/03/2021,4229092,2920179,1308913,,169772,113276,9.05,6.25,2.8,,2423,102258,0.219
Spain,ESP,04/03/2021,4471577,3129092,1342485,,242485,123706,9.57,6.69,2.87,,2646,109606,0.234
Spain,ESP,05/03/2021,,,,,,124505,,,,,2663,109313,0.234
Spain,ESP,06/03/2021,,,,,,125304,,,,,2681,109020,0.233
Spain,ESP,07/03/2021,4712191,3328703,1383488,,,126104,10.08,7.12,2.96,,2698,108727,0.233
Spain,ESP,08/03/2021,4848648,3436412,1412236,,136457,134273,10.37,7.35,3.02,,2872,113483,0.243
Spain,ESP,09/03/2021,4989505,3541667,1447838,,140857,132884,10.67,7.58,3.1,,2843,109907,0.235
Spain,ESP,10/03/2021,5172106,3668848,1503258,,182601,134716,11.06,7.85,3.22,,2882,106953,0.229
Spain,ESP,11/03/2021,5352767,3769523,1583244,,180661,125884,11.45,8.06,3.39,,2693,91490,0.196
Spain,ESP,12/03/2021,,,,,,124860,,,,,2671,88474,0.189
Spain,ESP,13/03/2021,,,,,,123835,,,,,2649,85458,0.183
Spain,ESP,14/03/2021,,,,,,122810,,,,,2627,82442,0.176
Spain,ESP,15/03/2021,5644895,3951221,1693674,,,113750,12.08,8.45,3.62,,2433,73544,0.157
Spain,ESP,16/03/2021,5742218,4013681,1728537,,97323,107530,12.28,8.59,3.7,,2300,67431,0.144
Spain,ESP,17/03/2021,5857085,4052470,1804615,,114867,97854,12.53,8.67,3.86,,2093,54803,0.117
Spain,ESP,18/03/2021,5993363,4106550,1886813,,136278,91514,12.82,8.78,4.04,,1958,48147,0.103
Spain,ESP,19/03/2021,,,,,,92814,,,,,1986,45389,0.097
Spain,ESP,20/03/2021,,,,,,94115,,,,,2013,42632,0.091
Spain,ESP,21/03/2021,,,,,,95416,,,,,2041,39874,0.085
Spain,ESP,22/03/2021,6321908,4211040,2110868,,,96716,13.52,9.01,4.52,,2069,37117,0.079
Spain,ESP,23/03/2021,6409196,4252598,2156598,,87288,95283,13.71,9.1,4.61,,2038,34131,0.073
Spain,ESP,24/03/2021,6620093,4343860,2276233,,210897,109001,14.16,9.29,4.87,,2332,41627,0.089
Spain,ESP,25/03/2021,6839736,4447534,2392202,,219643,120910,14.63,9.51,5.12,,2587,48712,0.104
Spain,ESP,26/03/2021,7067371,4561529,2505842,,227635,141696,15.12,9.76,5.36,,3031,61265,0.131
Spain,ESP,27/03/2021,,,,,,153965,,,,,3294,76853,0.164
Spain,ESP,28/03/2021,,,,,,166235,,,,,3556,92440,0.198
Spain,ESP,29/03/2021,7571439,4967230,2604209,,,178504,16.2,10.63,5.57,,3819,108027,0.231
Spain,ESP,30/03/2021,7736611,5092535,2644076,,165172,189631,16.55,10.89,5.66,,4057,119991,0.257
Spain,ESP,31/03/2021,8035160,5314076,2721084,,298549,202152,17.19,11.37,5.82,,4325,138602,0.297
Spain,ESP,01/04/2021,8342155,5545140,2797015,,306995,214631,17.85,11.86,5.98,,4592,156801,0.335
Spain,ESP,02/04/2021,,,,,,196858,,,,,4211,152109,0.325
Spain,ESP,03/04/2021,8548598,5707450,2841148,,,187601,18.29,12.21,6.08,,4013,144384,0.309
Spain,ESP,04/04/2021,,,,,,177533,,,,,3798,138168,0.296
Spain,ESP,05/04/2021,8743694,5890888,2852806,,,167465,18.71,12.6,6.1,,3583,131951,0.282
Spain,ESP,06/04/2021,9021001,6118710,2902291,,277307,183484,19.3,13.09,6.21,,3925,146596,0.314
Spain,ESP,07/04/2021,9357847,6416016,2941831,,336846,188955,20.02,13.73,6.29,,4042,157420,0.337
Spain,ESP,08/04/2021,9811529,6791079,3020450,,453682,209911,20.99,14.53,6.46,,4491,177991,0.381
Spain,ESP,09/04/2021,10231825,7159716,3072109,,420296,255207,21.89,15.32,6.57,,5460,219060,0.469
Spain,ESP,10/04/2021,,,,,,266803,,,,,5708,232078,0.496
Spain,ESP,11/04/2021,,,,,,279209,,,,,5973,243587,0.521
Spain,ESP,12/04/2021,10784997,7676560,3108437,,,291615,23.07,16.42,6.65,,6238,255096,0.546
Spain,ESP,13/04/2021,11073657,7937566,3136091,,288660,293237,23.69,16.98,6.71,,6273,259837,0.556
Spain,ESP,14/04/2021,11436073,8250887,3185186,,362416,296889,24.46,17.65,6.81,,6351,262124,0.561
Spain,ESP,15/04/2021,11885085,8631548,3253537,,449012,296222,25.43,18.47,6.96,,6337,262924,0.562
Spain,ESP,16/04/2021,12330755,9002054,3328701,,445670,299847,26.38,19.26,7.12,,6414,263191,0.563
Spain,ESP,17/04/2021,,,,,,298403,,,,,6384,259514,0.555
Spain,ESP,18/04/2021,,,,,,296959,,,,,6353,255838,0.547
Spain,ESP,19/04/2021,12853599,9441685,3411914,,,295515,27.5,20.2,7.3,,6322,252161,0.539
Spain,ESP,20/04/2021,13041032,9588913,3452119,,187433,281054,27.9,20.51,7.38,,6012,235907,0.505
Spain,ESP,21/04/2021,13497809,9886203,3611606,,456777,294534,28.88,21.15,7.73,,6301,233617,0.5
Spain,ESP,22/04/2021,13909964,10141949,3768015,,412155,289268,29.76,21.7,8.06,,6188,215772,0.462
Spain,ESP,23/04/2021,14266251,10405863,3862789,,356287,276499,30.52,22.26,8.26,,5915,200544,0.429
Spain,ESP,24/04/2021,,,,,,283722,,,,,6070,207510,0.444
Spain,ESP,25/04/2021,14715931,10796466,3947465,,,290945,31.48,23.1,8.44,,6224,214475,0.459
Spain,ESP,26/04/2021,14994667,11013911,4020945,,278736,305867,32.08,23.56,8.6,,6543,224604,0.48
Spain,ESP,27/04/2021,15377862,11261171,4166758,,383195,333833,32.9,24.09,8.91,,7142,238894,0.511
Spain,ESP,28/04/2021,15859772,11520146,4413784,,481910,337423,33.93,24.64,9.44,,7218,233420,0.499
Spain,ESP,29/04/2021,16364595,11763360,4689766,,504823,350662,35.01,25.16,10.03,,7502,231630,0.496
Spain,ESP,30/04/2021,,,,,,338524,,,,,7242,214534,0.459
Spain,ESP,01/05/2021,,,,,,345164,,,,,7384,207239,0.443
Spain,ESP,02/05/2021,17178566,12196079,5113598,,,351805,36.75,26.09,10.94,,7526,199945,0.428
Spain,ESP,03/05/2021,17430810,12381213,5202297,,252244,348020,37.29,26.49,11.13,,7445,195329,0.418
Spain,ESP,04/05/2021,17916566,12686341,5394315,,485756,362672,38.33,27.14,11.54,,7758,203596,0.436
Spain,ESP,05/05/2021,18489580,12966552,5696827,,573014,375687,39.55,27.74,12.19,,8037,206629,0.442
Spain,ESP,06/05/2021,19048132,13271511,5956451,,558552,383362,40.75,28.39,12.74,,8201,215450,0.461
Spain,ESP,07/05/2021,,,,,,381863,,,,,8169,219888,0.47
Spain,ESP,08/05/2021,,,,,,380364,,,,,8137,224326,0.48
Spain,ESP,09/05/2021,19830624,13797431,6221476,,,378865,42.42,29.52,13.31,,8105,228765,0.489
Spain,ESP,10/05/2021,20162661,14028954,6327447,,332037,390264,43.13,30.01,13.54,,8349,235392,0.504
Spain,ESP,11/05/2021,20623815,14318348,6502978,,461154,386750,44.12,30.63,13.91,,8274,233144,0.499
Spain,ESP,12/05/2021,21071940,14555552,6716156,,448125,368909,45.08,31.14,14.37,,7892,227000,0.486
Spain,ESP,13/05/2021,21683707,14911306,6976683,,611767,376511,46.39,31.9,14.92,,8055,234256,0.501
Spain,ESP,14/05/2021,,,,,,369220,,,,,7899,228715,0.489
Spain,ESP,15/05/2021,,,,,,361929,,,,,7743,223173,0.477
Spain,ESP,16/05/2021,22313088,15320846,7213716,,,354638,47.73,32.78,15.43,,7587,217631,0.466
Spain,ESP,17/05/2021,22587343,15495889,7323426,,274255,346383,48.32,33.15,15.67,,7410,209562,0.448
Spain,ESP,18/05/2021,22973955,15741247,7469173,,386612,335734,49.15,33.67,15.98,,7182,203271,0.435
Spain,ESP,19/05/2021,23503085,16049843,7697288,,529130,347306,50.28,34.33,16.47,,7430,213470,0.457
Spain,ESP,20/05/2021,23962365,16347683,7865313,,459280,325523,51.26,34.97,16.83,,6964,205197,0.439
Spain,ESP,21/05/2021,,,,,,322775,,,,,6905,202945,0.434
Spain,ESP,22/05/2021,,,,,,320028,,,,,6846,200693,0.429
Spain,ESP,23/05/2021,24534056,16709939,8130648,,,317281,52.48,35.75,17.39,,6787,198442,0.425
Spain,ESP,24/05/2021,24876302,16953205,8250814,,342246,326994,53.22,36.27,17.65,,6995,208188,0.445
Spain,ESP,25/05/2021,25280864,17187731,8434233,,404562,329558,54.08,36.77,18.04,,7050,206641,0.442
Spain,ESP,26/05/2021,25745178,17487591,8614678,,464314,320299,55.08,37.41,18.43,,6852,205393,0.439
Spain,ESP,27/05/2021,26133689,17707320,8804363,,388511,310189,55.91,37.88,18.83,,6636,194234,0.416
Spain,ESP,28/05/2021,,,,,,316011,,,,,6760,192464,0.412
Spain,ESP,29/05/2021,,,,,,321833,,,,,6885,190695,0.408
Spain,ESP,30/05/2021,26827637,18032417,9221285,,,327654,57.39,38.58,19.73,,7009,188925,0.404
Spain,ESP,31/05/2021,27119733,18178604,9405245,,292096,320490,58.02,38.89,20.12,,6856,175057,0.374
Spain,ESP,01/06/2021,27607247,18426204,9679187,,487514,332340,59.06,39.42,20.71,,7110,176925,0.378
Spain,ESP,02/06/2021,28182345,18720164,9979204,,575098,348167,60.29,40.05,21.35,,7448,176082,0.377
Spain,ESP,03/06/2021,28752570,19038135,10257209,,570225,374126,61.51,40.73,21.94,,8004,190116,0.407
Spain,ESP,04/06/2021,,,,,,400854,,,,,8575,210276,0.45
Spain,ESP,05/06/2021,,,,,,427582,,,,,9147,230435,0.493
Spain,ESP,06/06/2021,30007806,19786574,11002869,,,454310,64.19,42.33,23.54,,9719,250594,0.536
Spain,ESP,07/06/2021,30472862,20048174,11260175,,465056,479018,65.19,42.89,24.09,,10247,267081,0.571
Spain,ESP,08/06/2021,31004060,20305788,11552393,,531198,485259,66.33,43.44,24.71,,10381,268512,0.574
Spain,ESP,09/06/2021,31628321,20628061,11893951,,624261,492282,67.66,44.13,25.44,,10531,272557,0.583
Spain,ESP,10/06/2021,32282553,20963619,12250002,,654232,504283,69.06,44.85,26.21,,10788,275069,0.588
Spain,ESP,11/06/2021,,,,,,490235,,,,,10487,263771,0.564
Spain,ESP,12/06/2021,,,,,,476186,,,,,10187,252472,0.54
Spain,ESP,13/06/2021,33242768,21474788,12813055,,,462137,71.11,45.94,27.41,,9886,241173,0.516
Spain,ESP,14/06/2021,33632590,21713840,13007371,,389822,451390,71.95,46.45,27.83,,9656,237952,0.509
Spain,ESP,15/06/2021,34224523,22048919,13301010,,591933,460066,73.22,47.17,28.45,,9842,249019,0.533
Spain,ESP,16/06/2021,34845346,22365104,13641091,,620823,459575,74.54,47.84,29.18,,9831,248149,0.531
Spain,ESP,17/06/2021,35412140,22684911,13939564,,566794,447084,75.76,48.53,29.82,,9564,245899,0.526
Spain,ESP,18/06/2021,,,,,,446388,,,,,9549,246112,0.526
Spain,ESP,19/06/2021,,,,,,445692,,,,,9534,246326,0.527
Spain,ESP,20/06/2021,36357745,23200566,14431683,,,444997,77.78,49.63,30.87,,9520,246540,0.527
Spain,ESP,21/06/2021,36880086,23443444,14745736,,522341,463928,78.9,50.15,31.54,,9925,247086,0.529
Spain,ESP,22/06/2021,37560626,23772029,15138439,,680540,476586,80.35,50.85,32.39,,10195,246159,0.527
Spain,ESP,23/06/2021,38293871,24079429,15602526,,733245,492646,81.92,51.51,33.38,,10539,244904,0.524
Spain,ESP,24/06/2021,38808490,24325902,15894800,,514619,485193,83.02,52.04,34,,10380,234427,0.501
Spain,ESP,25/06/2021,,,,,,492817,,,,,10543,232105,0.497
Spain,ESP,26/06/2021,,,,,,500441,,,,,10706,229782,0.492
Spain,ESP,27/06/2021,39914204,24792784,16609913,,,508066,85.39,53.04,35.53,,10869,227460,0.487
Spain,ESP,28/06/2021,40565038,25007416,17088342,,650834,526422,86.78,53.5,36.56,,11262,223425,0.478
Spain,ESP,29/06/2021,41279995,25320606,17519587,,714957,531338,88.31,54.17,37.48,,11367,221225,0.473
Spain,ESP,30/06/2021,42027584,25627278,17990526,,747589,533388,89.91,54.82,38.49,,11411,221121,0.473
Spain,ESP,01/07/2021,42792983,25948237,18466362,,765399,569213,91.55,55.51,39.5,,12177,231762,0.496
Spain,ESP,02/07/2021,,,,,,572114,,,,,12239,236074,0.505
Spain,ESP,03/07/2021,,,,,,575016,,,,,12301,240387,0.514
Spain,ESP,04/07/2021,43959621,26505676,19135448,,,577917,94.04,56.7,40.94,,12363,244699,0.523
Spain,ESP,05/07/2021,44544324,26727529,19530228,,584703,568469,95.29,57.18,41.78,,12161,245730,0.526
Spain,ESP,06/07/2021,45233735,26996373,19982080,,689411,564820,96.77,57.75,42.75,,12083,239395,0.512
Spain,ESP,07/07/2021,45924484,27277127,20528505,,690749,556700,98.24,58.35,43.92,,11909,235693,0.504
Spain,ESP,08/07/2021,46612489,27534723,20999346,,688005,545644,99.72,58.9,44.92,,11673,226641,0.485
Spain,ESP,09/07/2021,,,,,,545557,,,,,11671,221982,0.475
Spain,ESP,10/07/2021,,,,,,545471,,,,,11669,217324,0.465
Spain,ESP,11/07/2021,47777316,27994332,21789996,,,545385,102.21,59.89,46.61,,11667,212665,0.455
Spain,ESP,12/07/2021,48315430,28216249,22139864,,538114,538729,103.36,60.36,47.36,,11525,212674,0.455
Spain,ESP,13/07/2021,48911460,28475900,22511734,,596030,525389,104.63,60.92,48.16,,11239,211361,0.452
Spain,ESP,14/07/2021,49585197,28759879,22949155,,673737,522959,106.08,61.52,49.09,,11187,211822,0.453
Spain,ESP,15/07/2021,50239048,29033376,23372796,,653851,518080,107.47,62.11,50,,11083,214093,0.458
Spain,ESP,16/07/2021,,,,,,509800,,,,,10906,213703,0.457
Spain,ESP,17/07/2021,,,,,,501519,,,,,10729,213313,0.456
Spain,ESP,18/07/2021,51229989,29484796,24041017,,,493239,109.59,63.08,51.43,,10552,212923,0.455
Spain,ESP,19/07/2021,51710022,29697691,24344008,,480033,484942,110.62,63.53,52.08,,10374,211635,0.453
Spain,ESP,20/07/2021,52293044,29956479,24700450,,583022,483083,111.87,64.08,52.84,,10334,211511,0.452
Spain,ESP,21/07/2021,52879267,30217311,25060958,,586223,470581,113.12,64.64,53.61,,10067,208205,0.445
Spain,ESP,22/07/2021,53449255,30500003,25398978,,569988,458601,114.34,65.25,54.33,,9811,209518,0.448
Spain,ESP,23/07/2021,,,,,,449988,,,,,9626,203638,0.436
Spain,ESP,24/07/2021,,,,,,441375,,,,,9442,197757,0.423
Spain,ESP,25/07/2021,54259325,30827932,25944318,,,432762,116.07,65.95,55.5,,9258,191877,0.41
Spain,ESP,26/07/2021,54617577,30996228,26151164,,358252,415365,116.84,66.31,55.94,,8886,185505,0.397
Spain,ESP,27/07/2021,55185352,31315140,26420097,,567775,413187,118.06,66.99,56.52,,8839,194094,0.415
Spain,ESP,28/07/2021,55713142,31592444,26694887,,527790,404839,119.18,67.58,57.11,,8661,196448,0.42
Spain,ESP,29/07/2021,56186601,31851618,26933847,,473459,391049,120.2,68.14,57.62,,8366,193088,0.413
Spain,ESP,30/07/2021,,,,,,381487,,,,,8161,192608,0.412
Spain,ESP,31/07/2021,,,,,,371925,,,,,7956,192128,0.411
Spain,ESP,01/08/2021,56795869,32169472,27262062,,,362363,121.5,68.82,58.32,,7752,191649,0.41
Spain,ESP,02/08/2021,57141754,32352818,27437503,,345885,360597,122.24,69.21,58.7,,7714,193799,0.415
Spain,ESP,03/08/2021,57653031,32650750,27811786,,511277,352526,123.33,69.85,59.5,,7541,190801,0.408
Spain,ESP,04/08/2021,58102441,32892680,28034427,,449410,341328,124.3,70.37,59.97,,7302,185748,0.397
Spain,ESP,05/08/2021,58542495,33141450,28255949,,440054,336556,125.24,70.9,60.45,,7200,184262,0.394
Spain,ESP,06/08/2021,,,,,,334505,,,,,7156,182606,0.391
Spain,ESP,07/08/2021,,,,,,332453,,,,,7112,180950,0.387
Spain,ESP,08/08/2021,59108679,33424529,28587458,,,330401,126.45,71.5,61.16,,7068,179294,0.384
Spain,ESP,09/08/2021,59429601,33575961,28768777,,320922,326835,127.14,71.83,61.54,,6992,174735,0.374
Spain,ESP,10/08/2021,59927147,33871458,28993301,,497546,324874,128.2,72.46,62.02,,6950,174387,0.373
Spain,ESP,11/08/2021,60449774,34196761,29221276,,522627,335333,129.32,73.16,62.51,,7174,186297,0.399
Spain,ESP,12/08/2021,60919867,34455543,29526380,,470093,339625,130.32,73.71,63.16,,7265,187728,0.402
Spain,ESP,13/08/2021,,,,,,336398,,,,,7196,186661,0.399
Spain,ESP,14/08/2021,,,,,,333172,,,,,7127,185595,0.397
Spain,ESP,15/08/2021,61418303,34716227,29794008,,,329946,131.39,74.27,63.74,,7058,184528,0.395
Spain,ESP,16/08/2021,61723171,34867478,29968303,,304868,327653,132.04,74.59,64.11,,7009,184502,0.395
Spain,ESP,17/08/2021,62193144,35072910,30261332,,469973,323714,133.05,75.03,64.74,,6925,171636,0.367
Spain,ESP,18/08/2021,62665513,35269276,30565129,,472369,316534,134.06,75.45,65.39,,6771,153216,0.328
Spain,ESP,19/08/2021,63090941,35442173,31096470,,425428,310153,134.97,75.82,66.52,,6635,140947,0.302
Spain,ESP,20/08/2021,,,,,,310230,,,,,6637,139258,0.298
Spain,ESP,21/08/2021,,,,,,310307,,,,,6638,137569,0.294
Spain,ESP,22/08/2021,63590985,35667383,31447188,,,310383,136.04,76.3,67.27,,6640,135879,0.291
Spain,ESP,23/08/2021,63938402,35831729,31653643,,347417,316462,136.78,76.65,67.72,,6770,137750,0.295
Spain,ESP,24/08/2021,64312970,35950365,31930874,,374568,302832,137.58,76.91,68.31,,6478,125351,0.268
Spain,ESP,25/08/2021,64714501,36111205,32239782,,401531,292713,138.44,77.25,68.97,,6262,120276,0.257
Spain,ESP,26/08/2021,65035990,36237517,32459380,,321489,277864,139.13,77.52,69.44,,5944,113621,0.243
Spain,ESP,27/08/2021,,,,,,273524,,,,,5851,108089,0.231
Spain,ESP,28/08/2021,,,,,,269184,,,,,5759,102557,0.219
Spain,ESP,29/08/2021,65444891,36346563,32811664,,,264844,140,77.75,70.19,,5666,97026,0.208
Spain,ESP,30/08/2021,65673013,36431416,32996436,,228122,247802,140.49,77.94,70.59,,5301,85670,0.183
Spain,ESP,31/08/2021,66130220,36533328,33376693,,457207,259607,141.47,78.15,71.4,,5554,83280,0.178
Spain,ESP,01/09/2021,66464730,36613696,33657941,,334510,250033,142.19,78.33,72,,5349,71784,0.154
Spain,ESP,02/09/2021,66788317,36696877,33940053,,323587,250332,142.88,78.5,72.61,,5355,65623,0.14
Spain,ESP,03/09/2021,,,,,,250022,,,,,5349,66321,0.142
Spain,ESP,04/09/2021,,,,,,249712,,,,,5342,67019,0.143
Spain,ESP,05/09/2021,67190707,36820586,34270593,,,249402,143.74,78.77,73.31,,5335,67718,0.145
Spain,ESP,06/09/2021,67385522,36889887,34418544,,194815,244644,144.15,78.92,73.63,,5234,65496,0.14
Spain,ESP,07/09/2021,67798496,37008271,34739745,,412974,238325,145.04,79.17,74.32,,5098,67849,0.145
Spain,ESP,08/09/2021,68002439,37067635,34903802,,203943,219673,145.47,79.3,74.67,,4699,64848,0.139
Spain,ESP,09/09/2021,68205694,37126744,35070311,,203255,202482,145.91,79.42,75.02,,4332,61410,0.131
Spain,ESP,10/09/2021,,,,,,196701,,,,,4208,59793,0.128
Spain,ESP,11/09/2021,,,,,,190920,,,,,4084,58177,0.124
Spain,ESP,12/09/2021,68486683,37216507,35300384,,,185139,146.51,79.62,75.52,,3961,56560,0.121
Spain,ESP,13/09/2021,68619581,37243220,35413078,,132898,176294,146.79,79.67,75.76,,3771,50476,0.108
Spain,ESP,14/09/2021,68820573,37303202,35571661,,200992,146011,147.22,79.8,76.1,,3124,42133,0.09
Spain,ESP,15/09/2021,68955191,37341455,35688441,,134618,136107,147.51,79.88,76.35,,2912,39117,0.084
Spain,ESP,16/09/2021,69094664,37385758,35784743,,139473,126996,147.81,79.98,76.55,,2717,37002,0.079
Spain,ESP,17/09/2021,,,,,,129443,,,,,2769,36842,0.079
Spain,ESP,18/09/2021,,,,,,131890,,,,,2821,36681,0.078
Spain,ESP,19/09/2021,69427047,37472155,36086354,,,134338,148.52,80.16,77.2,,2874,36521,0.078
Spain,ESP,20/09/2021,69427047,37472155,36086354,,0,115352,148.52,80.16,77.2,,2468,32705,0.07
Spain,ESP,21/09/2021,69549078,37508658,36184677,,122031,104072,148.78,80.24,77.41,,2226,29351,0.063
Spain,ESP,22/09/2021,69642236,37538323,36259105,,93158,98149,148.98,80.3,77.57,,2100,28124,0.06
Spain,ESP,23/09/2021,69740837,37571186,36335711,,98601,92310,149.19,80.37,77.73,,1975,26490,0.057
Spain,ESP,24/09/2021,,,,,,82516,,,,,1765,24337,0.052
Spain,ESP,25/09/2021,,,,,,72721,,,,,1556,22184,0.047
Spain,ESP,26/09/2021,69867532,37612369,36447564,,,62926,149.46,80.46,77.97,,1346,20031,0.043
Spain,ESP,27/09/2021,69936755,37632058,36501799,,69223,72815,149.61,80.5,78.09,,1558,22843,0.049
Spain,ESP,28/09/2021,70022100,37657732,36566753,,85345,67575,149.8,80.56,78.23,,1446,21296,0.046
Spain,ESP,29/09/2021,70083821,37680085,36613575,,61721,63084,149.93,80.61,78.33,,1350,20252,0.043
Spain,ESP,30/09/2021,70153507,37702384,36667138,,69686,58953,150.08,80.66,78.44,,1261,18743,0.04
Spain,ESP,01/10/2021,,,,,,57194,,,,,1224,17990,0.038
Spain,ESP,02/10/2021,,,,,,55435,,,,,1186,17237,0.037
Spain,ESP,03/10/2021,70243260,37727757,36745965,,,53675,150.27,80.71,78.61,,1148,16484,0.035
Spain,ESP,04/10/2021,70279166,37741414,36771680,,35906,48916,150.35,80.74,78.66,,1046,15622,0.033
